,context-AIC,contribution-AIC,result,impact,directions,limitation,outline-AIC,nc,micro_avg,macro_avg,weighted_avg,samples_avg
roberta+prefix_SEP,0.8400852878464818,0.7908309455587392,0.8011527377521613,0.3,0.6888888888888889,0.45544554455445546,0.7941176470588235,0.9062253743104807,0.8313725490196079,0.6970933032462538,0.8272063793738326,0.8383872416891284
roberta+prefix_cont_lr_SEP,0.8831168831168831,0.8650137741046832,0.8646288209606987,0.37037037037037035,0.7766990291262136,0.5794392523364486,0.8732394366197183,0.9393939393939394,0.8809368900455433,0.7689876882536194,0.8800678396507003,0.887713387241689
roberta+prefix_cont_ll_SEP,0.8954545454545455,0.8367346938775511,0.8507462686567164,0.5625,0.7692307692307693,0.5050505050505051,0.8529411764705882,0.9349019607843138,0.8738180632539941,0.7759449899406237,0.8717882828084028,0.8812893081761007
deberta+prefix_SEP,0.8133333333333334,0.7623762376237624,0.8192771084337349,0.0,0.7333333333333333,0.3877551020408163,0.8484848484848485,0.915625,0.8314313661558527,0.6600231204062286,0.8250209009842002,0.8375786163522013
deberta+prefix_cont_lr_SEP,0.9046563192904656,0.8484848484848485,0.846820809248555,0.48,0.8131868131868132,0.5420560747663551,0.8387096774193549,0.9365079365079365,0.877431906614786,0.7763028098630411,0.8759823862563088,0.8858715184186882
deberta+prefix_cont_ll_SEP,0.9099099099099099,0.8571428571428571,0.8734939759036144,0.45454545454545453,0.8275862068965517,0.6019417475728155,0.9041095890410958,0.9438377535101404,0.8932986337020169,0.796570936815305,0.8906777607832024,0.9010332434860737
scibert+prefix_SEP,0.8603104212860311,0.8054054054054054,0.8029411764705883,0.5714285714285714,0.7368421052631579,0.4380952380952381,0.821917808219178,0.9207843137254902,0.8443288917777055,0.7447156299867075,0.8424150059875412,0.8523135669362084
scibert+prefix_cont_lr_SEP,0.9271523178807947,0.8555858310626703,0.8666666666666667,0.47619047619047616,0.8041237113402062,0.5360824742268041,0.8493150684931506,0.9434850863422292,0.890625,0.7823252040253748,0.8869971079604866,0.8983602875112308
scibert+prefix_cont_ll_SEP,0.9315673289183223,0.8672086720867209,0.8613569321533924,0.5161290322580645,0.82,0.5102040816326531,0.88,0.9507427677873339,0.8939344794031787,0.7921511018545608,0.8915092268180984,0.9017070979335129
